744-,-,-,-,-,-
-0.002196,-0.478053,-0.051727,-0.005962,-0.037542,-0.006445
0.003346,-0.476466,-0.051952,-0.014692,-0.034594,-0.007044
0.008567,-0.481539,-0.051335,-0.023338,-0.031569,-0.007731
0.014151,-0.494413,-0.049646,-0.029646,-0.028103,-0.008390
0.018722,-0.512520,-0.047270,-0.031782,-0.024124,-0.009008
0.021161,-0.530547,-0.045203,-0.029303,-0.020214,-0.009855
0.021676,-0.542629,-0.044564,-0.023489,-0.016858,-0.011204
0.021362,-0.545464,-0.045654,-0.016699,-0.014264,-0.012842
0.021683,-0.539778,-0.047732,-0.011043,-0.012463,-0.014333
0.023778,-0.528999,-0.049791,-0.007589,-0.010999,-0.015589
0.027877,-0.517444,-0.051091,-0.006383,-0.008971,-0.017096
0.033157,-0.508821,-0.051398,-0.006723,-0.005478,-0.019342
0.037582,-0.504892,-0.050965,-0.007628,-0.000245,-0.022137
0.038931,-0.505149,-0.050489,-0.008451,0.005902,-0.024820
0.036780,-0.508462,-0.050896,-0.009113,0.011641,-0.026526
0.032888,-0.514939,-0.052517,-0.009547,0.016221,-0.026356
0.029390,-0.525047,-0.055053,-0.009193,0.019592,-0.023934
0.027395,-0.538121,-0.058263,-0.007188,0.021720,-0.019954
0.027243,-0.552685,-0.062173,-0.002826,0.022630,-0.016204
0.028305,-0.567297,-0.066583,0.004058,0.022828,-0.015005
0.029126,-0.581467,-0.070580,0.013123,0.022626,-0.018508
0.029081,-0.595164,-0.072939,0.024072,0.022322,-0.028168
0.028793,-0.608312,-0.072930,0.037177,0.023147,-0.043701
0.028564,-0.621252,-0.070748,0.053075,0.026057,-0.061032
0.026902,-0.632686,-0.067113,0.071888,0.030610,-0.074047
0.021560,-0.640121,-0.062948,0.092875,0.035001,-0.079885
0.012935,-0.642015,-0.059128,0.114581,0.036445,-0.078991
0.004130,-0.636942,-0.055859,0.134675,0.033524,-0.072416
-0.002492,-0.625049,-0.053027,0.150350,0.026881,-0.062386
-0.005706,-0.608280,-0.050775,0.159315,0.017608,-0.052026
-0.005427,-0.585792,-0.048429,0.159458,0.006436,-0.036999
-0.004375,-0.560174,-0.043670,0.149854,-0.007230,-0.005474
-0.004075,-0.544431,-0.036035,0.135529,-0.022870,0.039971
-0.003500,-0.544687,-0.028098,0.126285,-0.036274,0.077648
-0.004399,-0.553749,-0.020805,0.127918,-0.045273,0.088994
-0.006743,-0.565358,-0.013934,0.139381,-0.052054,0.070563
-0.006251,-0.574781,-0.008279,0.157042,-0.055962,0.032090
-0.004595,-0.576833,-0.003011,0.177195,-0.054831,-0.007457
-0.007646,-0.570959,0.003300,0.196299,-0.052546,-0.029168
-0.015331,-0.561632,0.009579,0.211902,-0.054489,-0.027545
-,-,-,-,-,-
-0.000411,-0.009193,0.000168,0.004319,-0.001287,-0.000564
-0.002075,-0.052818,0.001303,0.024857,-0.007204,-0.003304
-0.005109,-0.145875,0.004932,0.068805,-0.019581,-0.008614
-0.009037,-0.269212,0.012088,0.127579,-0.036580,-0.013788
-0.013135,-0.387507,0.021669,0.185317,-0.055282,-0.016284
-0.015196,-0.474258,0.031000,0.229894,-0.072415,-0.016435
-0.013532,-0.519149,0.038132,0.255733,-0.083845,-0.015304
-0.010222,-0.526112,0.042671,0.263024,-0.087399,-0.012279
-0.008124,-0.508830,0.045207,0.255729,-0.085493,-0.005943
-0.006358,-0.484313,0.046582,0.239822,-0.082186,0.003404
-0.003139,-0.464396,0.047432,0.221451,-0.078923,0.013303
0.000022,-0.452139,0.048493,0.205020,-0.075631,0.020153
0.001270,-0.445452,0.050405,0.192544,-0.073065,0.020478
