-0-,-,-,-,-,-
-0.434220,-0.004853,-0.193444,-0.022447,0.003407,-0.005532
-0.434735,-0.005162,-0.194013,-0.022576,0.002122,-0.005537
-0.435108,-0.005487,-0.194752,-0.022673,0.000906,-0.005571
-0.435166,-0.005586,-0.195235,-0.022725,0.000929,-0.005643
-0.434881,-0.005406,-0.194960,-0.022715,0.002294,-0.005717
-0.434443,-0.005248,-0.194116,-0.022629,0.003352,-0.005732
-0.434161,-0.005380,-0.193335,-0.022506,0.002929,-0.005658
-0.434178,-0.005704,-0.193109,-0.022423,0.001434,-0.005528
-0.434296,-0.006012,-0.193511,-0.022403,-0.000532,-0.005398
-0.434227,-0.006271,-0.194292,-0.022416,-0.002449,-0.005333
-0.434005,-0.006488,-0.195125,-0.022445,-0.003735,-0.005367
-0.433910,-0.006583,-0.195591,-0.022480,-0.004086,-0.005456
-0.433958,-0.006549,-0.195467,-0.022504,-0.003398,-0.005538
-0.433932,-0.006548,-0.195042,-0.022515,-0.001817,-0.005596
-0.433757,-0.006720,-0.194876,-0.022532,0.000030,-0.005649
-0.433488,-0.007021,-0.195306,-0.022577,0.001536,-0.005709
-0.433208,-0.007300,-0.196070,-0.022664,0.002619,-0.005774
-0.432936,-0.007440,-0.196591,-0.022787,0.003275,-0.005844
-0.432635,-0.007396,-0.196478,-0.022935,0.003218,-0.005936
-0.432458,-0.007160,-0.195701,-0.023198,0.002297,-0.006107
-0.432848,-0.006661,-0.194433,-0.024223,0.000515,-0.006770
-0.434088,-0.005906,-0.192889,-0.028302,-0.002464,-0.009307
-0.435582,-0.005301,-0.191688,-0.037836,-0.006593,-0.015026
-0.436199,-0.005420,-0.191902,-0.050470,-0.010344,-0.022410
-0.435417,-0.006390,-0.193913,-0.059477,-0.011867,-0.027537
-0.433839,-0.007583,-0.196550,-0.060219,-0.010675,-0.027765
-0.432471,-0.008135,-0.198266,-0.053234,-0.007179,-0.023442
-0.431790,-0.007863,-0.198677,-0.042273,-0.002239,-0.016814
-0.431854,-0.007153,-0.198106,-0.031407,0.002481,-0.010354
-0.432611,-0.006344,-0.196877,-0.023289,0.005327,-0.005661
-0.433769,-0.005697,-0.195501,-0.018804,0.005588,-0.003213
-0.434831,-0.005429,-0.194394,-0.017499,0.003479,-0.002665
-0.435454,-0.005494,-0.193510,-0.018222,0.000025,-0.003306
-0.435586,-0.005624,-0.192678,-0.019740,-0.003241,-0.004419
-0.435349,-0.005671,-0.192119,-0.021190,-0.005043,-0.005474
-0.434926,-0.005729,-0.192294,-0.022177,-0.005028,-0.006168
-0.434412,-0.005867,-0.193215,-0.022640,-0.003844,-0.006413
-0.433851,-0.005998,-0.194314,-0.022689,-0.002556,-0.006289
-0.433382,-0.006115,-0.195003,-0.022485,-0.002010,-0.005967
-0.433196,-0.006303,-0.195129,-0.022175,-0.002585,-0.005621
-0.433379,-0.006514,-0.194912,-0.021860,-0.004057,-0.005352
-0.433908,-0.006606,-0.194622,-0.021576,-0.005885,-0.005157
-0.434646,-0.006505,-0.194493,-0.021230,-0.007692,-0.004936
-0.435330,-0.006217,-0.194569,-0.020555,-0.009205,-0.004504
-0.435696,-0.005858,-0.194627,-0.019244,-0.010118,-0.003675
-0.435618,-0.005660,-0.194591,-0.017130,-0.010333,-0.002380
-0.435313,-0.005717,-0.194433,-0.014268,-0.009920,-0.000705
-0.435246,-0.005770,-0.193824,-0.011358,-0.008903,0.000909
-0.435606,-0.005574,-0.192717,-0.009836,-0.007503,0.001660
-0.436145,-0.005301,-0.191649,-0.010682,-0.006150,0.001049
-0.436505,-0.005190,-0.191118,-0.013512,-0.004986,-0.000651
-0.436470,-0.005181,-0.191224,-0.017118,-0.003749,-0.002738
-0.436060,-0.005188,-0.191788,-0.020355,-0.002144,-0.004576
-0.435455,-0.005258,-0.192556,-0.022577,-0.000150,-0.005797
-0.434772,-0.005416,-0.193181,-0.023654,0.001921,-0.006322
-0.434105,-0.005658,-0.193268,-0.023806,0.003503,-0.006304
-0.433703,-0.005985,-0.192717,-0.023404,0.004045,-0.006002
-0.433764,-0.006370,-0.191824,-0.022799,0.003408,-0.005646
-0.434199,-0.006618,-0.191097,-0.022249,0.001897,-0.005366
-0.434690,-0.006499,-0.190958,-0.021890,-0.000134,-0.005215
-0.434825,-0.006122,-0.191324,-0.021743,-0.002340,-0.005197
-0.434507,-0.005893,-0.191760,-0.021752,-0.004321,-0.005254
-0.434155,-0.006039,-0.192082,-0.021830,-0.005748,-0.005311
-0.434165,-0.006418,-0.192367,-0.021807,-0.006313,-0.005289
-0.434407,-0.007144,-0.192685,-0.021183,-0.005800,-0.004959
-0.434587,-0.008518,-0.193105,-0.019269,-0.004506,-0.003952
-0.434800,-0.009870,-0.193501,-0.016249,-0.003345,-0.002301
-0.435296,-0.010044,-0.193585,-0.013458,-0.003126,-0.000703
-0.435949,-0.008747,-0.193212,-0.012172,-0.003791,0.000081
-0.436357,-0.006736,-0.192443,-0.012743,-0.004372,-0.000200
-0.436331,-0.005161,-0.191582,-0.014663,-0.003510,-0.001251
-0.435852,-0.004774,-0.191307,-0.016162,-0.000265,-0.002027
-0.434785,-0.005730,-0.192154,-0.014483,0.005094,-0.000954
-0.433394,-0.007444,-0.193597,-0.009312,0.010671,0.002113
-0.432456,-0.008836,-0.194762,-0.004367,0.013812,0.004998
-0.432356,-0.009309,-0.195567,-0.003278,0.012826,0.005579
-0.432840,-0.009027,-0.196140,-0.006345,0.007895,0.003690
-0.433503,-0.008434,-0.196195,-0.011638,0.000984,0.000507
-0.434101,-0.007830,-0.195413,-0.016973,-0.005242,-0.002652
-0.434574,-0.007192,-0.193990,-0.020948,-0.009154,-0.004974
-0.434937,-0.006411,-0.192665,-0.023186,-0.010924,-0.006260
-0.435216,-0.005594,-0.191954,-0.023992,-0.011808,-0.006694
-0.435463,-0.004942,-0.191663,-0.023904,-0.012803,-0.006583
-0.435735,-0.004589,-0.191347,-0.023437,-0.013765,-0.006213
-0.435933,-0.004586,-0.190873,-0.022960,-0.013800,-0.005815
-0.435850,-0.004808,-0.190445,-0.022615,-0.012305,-0.005550
-0.435493,-0.004959,-0.190206,-0.022417,-0.009332,-0.005481
-0.435168,-0.004859,-0.190020,-0.022340,-0.005272,-0.005601
-0.435136,-0.004673,-0.189686,-0.022343,-0.000645,-0.005834
-0.435325,-0.004655,-0.189337,-0.022393,0.004090,-0.006044
-0.435507,-0.004810,-0.189457,-0.022458,0.008668,-0.006124
-0.435600,-0.005003,-0.190255,-0.022513,0.012922,-0.006077
-0.435655,-0.005126,-0.191292,-0.022566,0.016825,-0.005985
-0.435729,-0.005089,-0.192030,-0.022625,0.020575,-0.005923
-0.435898,-0.004960,-0.192473,-0.022680,0.024065,-0.005902
-0.436101,-0.004984,-0.193000,-0.022722,0.026283,-0.005893
-0.436083,-0.005244,-0.193680,-0.022737,0.026097,-0.005880
-,-,-,-,-,-
-0.007856,-0.000124,-0.003513,-0.000410,0.000203,-0.000098
-0.045291,-0.000682,-0.020252,-0.002359,0.001076,-0.000573
-0.125564,-0.001807,-0.056178,-0.006523,0.002741,-0.001605
-0.232697,-0.003268,-0.104205,-0.012055,0.004719,-0.002999
-0.336695,-0.004740,-0.150943,-0.017376,0.006254,-0.004355
-0.415290,-0.005864,-0.186394,-0.021330,0.006487,-0.005366
-0.460403,-0.006349,-0.206837,-0.023558,0.005040,-0.005933
-0.475701,-0.006228,-0.213852,-0.024341,0.002479,-0.006140
-0.471020,-0.005671,-0.211834,-0.024205,-0.000279,-0.006132
-0.457219,-0.004911,-0.205649,-0.023640,-0.002532,-0.006033
-0.442724,-0.004307,-0.199197,-0.022999,-0.003822,-0.005927
-0.432222,-0.004122,-0.194558,-0.022507,-0.004170,-0.005842
-0.427080,-0.004462,-0.192048,-0.022234,-0.004120,-0.005779
-0.426431,-0.005236,-0.191229,-0.022136,-0.004062,-0.005758
